"x Ressort 40N.m-1 (mm)","x Ressort 50N.m-1 (mm)","x Ressort 100N.m-1 (mm)","Temps (s)"
2.45741605758667,5.209231376647949,13.158011436462402,0.01
2.4696826934814453,5.196964740753174,13.17436695098877,0.02
2.4696826934814453,5.331897735595703,13.035345077514648,0.03
2.3838162422180176,5.201053619384766,12.278902530670166,0.04
2.0280838012695312,5.021142959594727,12.757301330566406,0.05
2.2039055824279785,5.221498012542725,12.753212451934814,0.060000000000000005
2.0199060440063477,5.3646087646484375,13.235700130462646,0.07
2.0239949226379395,5.201053619384766,13.182544708251953,0.08
1.9994616508483887,5.2337646484375,13.15392255783081,0.09
2.0280838012695312,5.196964740753174,12.728679180145264,0.09999999999999999
2.073061466217041,5.217409133911133,12.732768058776855,0.10999999999999999
1.790928840637207,5.176520347595215,12.69596815109253,0.11999999999999998
2.0403504371643066,5.274653434753418,12.728679180145264,0.12999999999999998
2.82132625579834,5.213320255279541,12.732768058776855,0.13999999999999999
2.796792984008789,5.1438093185424805,12.757301330566406,0.15
3.1525254249572754,5.209231376647949,12.94947862625122,0.16
4.0766119956970215,5.196964740753174,12.728679180145264,0.17
4.9025654792785645,5.217409133911133,12.76547908782959,0.18000000000000002
5.6876301765441895,5.213320255279541,12.728679180145264,0.19000000000000003
6.570827960968018,5.209231376647949,12.74503469467163,0.20000000000000004
7.985579967498779,5.184698104858398,12.724590301513672,0.21000000000000005
9.4207763671875,5.201053619384766,13.149833679199219,0.22000000000000006
10.01366376876831,5.205142498016357,13.158011436462402,0.23000000000000007
10.164952278137207,5.201053619384766,13.783609867095947,0.24000000000000007
10.577929019927979,5.258297920227051,14.74449634552002,0.25000000000000006
11.48974895477295,5.401408672332764,14.621829986572266,0.26000000000000006
11.90272569656372,5.139720439910889,15.574538707733154,0.2700000000000001
14.773118495941162,5.838918685913086,14.977562427520752,0.2800000000000001
12.818634510040283,6.640338897705078,15.762627124786377,0.2900000000000001
13.710010051727295,7.106471061706543,17.83977746963501,0.3000000000000001
