Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
0.00826263427734375;460;1519;100;air;30;2023-03-21 15:27:16.299075;jghikl;1
0.020528793334960938;456;;;;;;;
0.025896787643432617;472;;;;;;;
0.04114937782287598;458;;;;;;;
0.04920530319213867;480;;;;;;;
0.06131482124328613;470;;;;;;;
0.06971335411071777;472;;;;;;;
0.08199572563171387;466;;;;;;;
0.08976888656616211;464;;;;;;;
0.09836268424987793;458;;;;;;;
0.1103067398071289;462;;;;;;;
0.11861228942871094;466;;;;;;;
0.13092494010925293;468;;;;;;;
0.1386735439300537;462;;;;;;;
0.1515662670135498;470;;;;;;;
0.15983176231384277;456;;;;;;;
0.17206382751464844;450;;;;;;;
0.18008995056152344;466;;;;;;;
0.19235754013061523;466;;;;;;;
0.2007768154144287;470;;;;;;;
0.20898985862731934;470;;;;;;;
0.22123336791992188;452;;;;;;;
0.22948098182678223;466;;;;;;;
0.24154424667358398;466;;;;;;;
0.2492220401763916;464;;;;;;;
0.2582838535308838;468;;;;;;;
0.27108168601989746;464;;;;;;;
0.282665491104126;452;;;;;;;
0.2908155918121338;468;;;;;;;
0.30080199241638184;464;;;;;;;
0.3078799247741699;466;;;;;;;
0.3196098804473877;472;;;;;;;
0.3317995071411133;468;;;;;;;
0.34015679359436035;466;;;;;;;
0.35229992866516113;462;;;;;;;
0.35980725288391113;462;;;;;;;
0.37238454818725586;472;;;;;;;
0.3809356689453125;466;;;;;;;
0.3931162357330322;460;;;;;;;
0.4013230800628662;450;;;;;;;
0.4138317108154297;464;;;;;;;
0.4220700263977051;464;;;;;;;
0.4294915199279785;466;;;;;;;
0.44239211082458496;468;;;;;;;
0.45087718963623047;460;;;;;;;
0.46256518363952637;470;;;;;;;
0.47116851806640625;472;;;;;;;
0.4836404323577881;462;;;;;;;
0.49047327041625977;474;;;;;;;
0.5001258850097656;468;;;;;;;
0.5118143558502197;460;;;;;;;
0.5201520919799805;468;;;;;;;
0.5323166847229004;462;;;;;;;
0.5380933284759521;466;;;;;;;
