Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
1.7510933876037598;310;;;;;;;
1.7616536617279053;320;;;;;;;
1.7714629173278809;334;;;;;;;
1.7823152542114258;360;;;;;;;
1.7951514720916748;360;;;;;;;
1.8012330532073975;378;;;;;;;
1.8138048648834229;370;;;;;;;
1.818641185760498;410;;;;;;;
1.8292152881622314;414;;;;;;;
1.8441970348358154;436;;;;;;;
1.850825548171997;426;;;;;;;
1.8624017238616943;450;;;;;;;
1.8722243309020996;446;;;;;;;
1.8844890594482422;452;;;;;;;
1.893552541732788;454;;;;;;;
1.9063763618469238;468;;;;;;;
1.913618564605713;458;;;;;;;
1.9209439754486084;454;;;;;;;
1.9342422485351562;452;;;;;;;
1.9420528411865234;456;;;;;;;
1.954263687133789;438;;;;;;;
1.9625165462493896;416;;;;;;;
1.9751858711242676;424;;;;;;;
1.9831962585449219;408;;;;;;;
1.9952011108398438;396;;;;;;;
2.003392457962036;388;;;;;;;
2.0114080905914307;366;;;;;;;
2.023409843444824;346;;;;;;;
2.031402587890625;342;;;;;;;
2.043919801712036;334;;;;;;;
2.0514473915100098;312;;;;;;;
2.0634422302246094;302;;;;;;;
2.073324203491211;274;;;;;;;
2.0849616527557373;270;;;;;;;
2.094064712524414;256;;;;;;;
2.1062140464782715;240;;;;;;;
2.1128718852996826;230;;;;;;;
2.127187490463257;216;;;;;;;
2.1352221965789795;206;;;;;;;
2.143470525741577;184;;;;;;;
2.155747175216675;178;;;;;;;
2.164015293121338;164;;;;;;;
2.175950765609741;156;;;;;;;
2.184405565261841;144;;;;;;;
2.1945831775665283;138;;;;;;;
2.201220989227295;126;;;;;;;
2.2169268131256104;116;;;;;;;
2.2251651287078857;110;;;;;;;
2.237215518951416;104;;;;;;;
2.245598793029785;92;;;;;;;
2.253979444503784;96;;;;;;;
2.264305830001831;82;;;;;;;
2.274461507797241;88;;;;;;;
2.286759853363037;82;;;;;;;
2.294367551803589;82;;;;;;;
2.3067262172698975;82;;;;;;;
2.314406633377075;76;;;;;;;
2.3236424922943115;82;;;;;;;
2.3363614082336426;82;;;;;;;
2.33913516998291;86;;;;;;;
2.3558104038238525;86;;;;;;;
2.36457896232605;88;;;;;;;
2.376608371734619;94;;;;;;;
2.384889602661133;102;;;;;;;
2.397183895111084;110;;;;;;;
2.404989242553711;118;;;;;;;
2.417612075805664;126;;;;;;;
2.4251983165740967;128;;;;;;;
2.437610149383545;142;;;;;;;
2.446322441101074;150;;;;;;;
2.458752393722534;158;;;;;;;
2.4672658443450928;174;;;;;;;
2.479261875152588;190;;;;;;;
2.4874885082244873;198;;;;;;;
2.495671510696411;208;;;;;;;
2.5077834129333496;220;;;;;;;
2.515995502471924;238;;;;;;;
2.5282785892486572;248;;;;;;;
2.536630868911743;268;;;;;;;
2.548884153366089;284;;;;;;;
2.553576707839966;294;;;;;;;
2.5672216415405273;304;;;;;;;
2.577416181564331;320;;;;;;;
2.588876247406006;316;;;;;;;
2.5970888137817383;340;;;;;;;
2.6095938682556152;350;;;;;;;
2.6176085472106934;348;;;;;;;
2.630901575088501;376;;;;;;;
2.637683153152466;366;;;;;;;
2.6464970111846924;400;;;;;;;
2.6597506999969482;402;;;;;;;
2.66768741607666;410;;;;;;;
2.6792521476745605;416;;;;;;;
2.687534809112549;422;;;;;;;
2.7004458904266357;410;;;;;;;
2.7085297107696533;430;;;;;;;
2.7204134464263916;422;;;;;;;
2.728118896484375;428;;;;;;;
2.7362189292907715;422;;;;;;;
2.749586820602417;402;;;;;;;
2.7577428817749023;406;;;;;;;
2.7700812816619873;414;;;;;;;
2.7779955863952637;394;;;;;;;
2.7896788120269775;392;;;;;;;
2.796900987625122;376;;;;;;;
2.808873176574707;362;;;;;;;
2.816748857498169;342;;;;;;;
2.8285419940948486;358;;;;;;;
2.839496374130249;334;;;;;;;
2.847914934158325;324;;;;;;;
2.8525588512420654;306;;;;;;;
2.8661036491394043;304;;;;;;;
2.8806145191192627;290;;;;;;;
2.8886401653289795;282;;;;;;;
2.899329423904419;264;;;;;;;
2.907604694366455;250;;;;;;;
2.9215517044067383;238;;;;;;;
2.929403066635132;228;;;;;;;
2.9421305656433105;212;;;;;;;
2.950349807739258;204;;;;;;;
2.9627771377563477;190;;;;;;;
2.9710299968719482;186;;;;;;;
2.9788827896118164;170;;;;;;;
2.99017333984375;158;;;;;;;
2.99910569190979;150;;;;;;;
3.010824680328369;144;;;;;;;
3.018664598464966;132;;;;;;;
3.0296988487243652;124;;;;;;;
3.039870023727417;120;;;;;;;
3.052478075027466;114;;;;;;;
3.0590319633483887;110;;;;;;;
3.073070764541626;108;;;;;;;
3.0811548233032227;104;;;;;;;
3.093184232711792;106;;;;;;;
3.101184368133545;98;;;;;;;
3.1101691722869873;100;;;;;;;
3.1223018169403076;100;;;;;;;
3.130568742752075;98;;;;;;;
3.142803192138672;100;;;;;;;
3.150773286819458;104;;;;;;;
3.1631557941436768;106;;;;;;;
3.1713414192199707;104;;;;;;;
3.181711435317993;114;;;;;;;
3.1919658184051514;110;;;;;;;
3.204528331756592;118;;;;;;;
3.2098889350891113;122;;;;;;;
3.2181153297424316;132;;;;;;;
3.2325239181518555;134;;;;;;;
3.237778663635254;144;;;;;;;
3.250342607498169;154;;;;;;;
3.261387586593628;162;;;;;;;
